2026-06-01 01:12:24 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:12:25 | INFO     | wakie.chat | Message sent
2026-06-01 01:12:38 | INFO     | wakie.detector | New command from ....................: /tu jane na
2026-06-01 01:12:38 | WARNING  | commands.parser | Unknown command '/tu' (invoked as '/tu') from ....................
2026-06-01 01:12:38 | INFO     | bot.runtime | Command: /tu from .................... args=['jane', 'na']
2026-06-01 01:12:38 | INFO     | commands.audit | RECV user=.................... cmd=/tu invoked=/tu args=['jane', 'na'] fp=43fd8aed
2026-06-01 01:12:38 | WARNING  | commands.audit | user=.................... cmd=/tu invoked=/tu args=[jane na] status=UNKNOWN ok=False ms=0 msg='Unknown command: /tu. Try /help — did you mean /status, /upnext?'
2026-06-01 01:12:39 | INFO     | wakie.chat | Message typed
2026-06-01 01:12:43 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:12:44 | INFO     | wakie.chat | Message sent
2026-06-01 01:12:45 | INFO     | wakie.detector | New command from Unknown command: /tu. Try /help — did you mean /status, /upnext?
2026-06-01 01:12:45 | WARNING  | commands.parser | Unknown command '/tu.' (invoked as '/tu.') from Unknown command
2026-06-01 01:12:45 | INFO     | bot.runtime | Command: /tu. from Unknown command args=['Try', '/help', '—', 'did', 'you', 'mean', '/status,', '/upnext?']
2026-06-01 01:12:45 | INFO     | commands.audit | RECV user=Unknown command cmd=/tu. invoked=/tu. args=['Try', '/help', '—', 'did', 'you', 'mean', '/status,', '/upnext?'] fp=e6df3a91
2026-06-01 01:12:45 | WARNING  | commands.audit | user=Unknown command cmd=/tu. invoked=/tu. args=[Try /help — did you mean /status, /upnext?] status=UNKNOWN ok=False ms=0 msg='Unknown command: /tu.. Try /help'
2026-06-01 01:12:46 | INFO     | wakie.chat | Message typed
2026-06-01 01:12:50 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:12:51 | INFO     | wakie.chat | Message sent
2026-06-01 01:12:53 | INFO     | wakie.detector | New command from ✨️Siya..: /add believer
2026-06-01 01:12:53 | INFO     | bot.runtime | Command: /add from ✨️Siya.. args=['believer']
2026-06-01 01:12:53 | INFO     | commands.audit | RECV user=✨️Siya.. cmd=/add invoked=/add args=['believer'] fp=fad23ce9
2026-06-01 01:12:53 | INFO     | player.memory_queue | Queued: believer (#1) by ✨️Siya..
2026-06-01 01:12:53 | INFO     | commands.audit | user=✨️Siya.. cmd=/add invoked=/add args=[believer] status=SUCCESS ok=True ms=2 msg='Added: believer (#1 in queue)'
2026-06-01 01:12:53 | INFO     | player.audio_player | Now playing: believer.mp3
2026-06-01 01:12:53 | INFO     | bot.runtime | Auto-playing: believer
2026-06-01 01:12:54 | INFO     | wakie.chat | Message typed
2026-06-01 01:12:58 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:12:58 | INFO     | wakie.chat | Message sent
2026-06-01 01:13:21 | INFO     | wakie.detector | New command from ....................: /add timber pitbull
2026-06-01 01:13:21 | INFO     | bot.runtime | Command: /add from .................... args=['timber', 'pitbull']
2026-06-01 01:13:21 | INFO     | commands.audit | RECV user=.................... cmd=/add invoked=/add args=['timber', 'pitbull'] fp=2c4923d5
2026-06-01 01:13:21 | INFO     | player.local_library | No local song for query: 'timber pitbull'
2026-06-01 01:13:21 | WARNING  | commands.audit | user=.................... cmd=/add invoked=/add args=[timber pitbull] status=ERROR ok=False ms=1 msg='Song not found: timber pitbull. Available: believer, faded'
2026-06-01 01:13:22 | INFO     | wakie.chat | Message typed
2026-06-01 01:13:26 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:13:26 | INFO     | wakie.chat | Message sent
2026-06-01 01:13:36 | INFO     | wakie.detector | New command from ....................: /add timber pitbull
2026-06-01 01:13:36 | INFO     | bot.runtime | Command: /add from .................... args=['timber', 'pitbull']
2026-06-01 01:13:36 | INFO     | commands.audit | RECV user=.................... cmd=/add invoked=/add args=['timber', 'pitbull'] fp=cf946fd0
2026-06-01 01:13:36 | INFO     | player.local_library | No local song for query: 'timber pitbull'
2026-06-01 01:13:36 | WARNING  | commands.audit | user=.................... cmd=/add invoked=/add args=[timber pitbull] status=ERROR ok=False ms=1 msg='Song not found: timber pitbull. Available: believer, faded'
2026-06-01 01:13:37 | INFO     | wakie.chat | Message typed
2026-06-01 01:13:41 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:13:41 | INFO     | wakie.chat | Message sent
2026-06-01 01:16:12 | INFO     | player.audio_player | AudioPlayer shut down
2026-06-01 01:16:12 | INFO     | wakie.reader | MessageReader disconnected
2026-06-01 01:16:12 | INFO     | wakie.device_session | Device session closed
2026-06-01 01:16:12 | INFO     | bot.runtime | Bot stopped
2026-06-01 01:26:38 | INFO     | commands.dispatcher | CommandDispatcher ready — 35 handler(s) registered
2026-06-01 01:26:38 | INFO     | bot.runtime | === Wakie Streaming Music Bot starting ===
2026-06-01 01:26:38 | INFO     | player.autoplay_manager | Autoplay playlist loaded: 2 track(s)
2026-06-01 01:26:38 | INFO     | wakie.device_session | Connecting uiautomator2 → emulator-5554
2026-06-01 01:26:39 | INFO     | wakie.device_session | Device ready: 900x1600 serial=emulator-5554
2026-06-01 01:26:39 | INFO     | wakie.reader | MessageReader using shared device session
2026-06-01 01:26:39 | INFO     | player.audio_player | VLC initialized (streaming enabled)
2026-06-01 01:26:39 | INFO     | player.youtube_service | Extracting stream: https://www.youtube.com/playlist?list=PL4sNEU2Mgm6bNnbM-qKPmTwwDromFqpMQ
2026-06-01 01:28:39 | ERROR    | player.autoplay_manager | Autoplay extract failed for https://www.youtube.com/playlist?list=PL4sNEU2Mgm6bNnbM-qKPmTwwDromFqpMQ: 
2026-06-01 01:28:39 | INFO     | bot.runtime | Poll loop started (interval=1.5s)
2026-06-01 01:28:39 | INFO     | player.playback_engine | Playback engine started
2026-06-01 01:28:39 | INFO     | player.youtube_service | Extracting stream: https://www.youtube.com/playlist?list=PL5HDCGtq1uZtGtAP1eTx34IATGVfHMelL
2026-06-01 01:28:40 | INFO     | wakie.detector | New command from ✨️Siya..: /help
2026-06-01 01:28:40 | INFO     | bot.runtime | Command: /help from ✨️Siya..
2026-06-01 01:28:40 | INFO     | commands.audit | RECV user=✨️Siya.. cmd=/help invoked=/help args=[] fp=1d6cf188
2026-06-01 01:28:40 | INFO     | commands.audit | user=✨️Siya.. cmd=/help invoked=/help args=[] status=SUCCESS ok=True ms=0 msg='Available commands:\n  /add <song|url> — Add a song to the queue. (aliases: /a, /'
2026-06-01 01:28:41 | INFO     | wakie.chat | Message typed
2026-06-01 01:28:45 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:28:46 | INFO     | wakie.chat | Message sent
2026-06-01 01:29:03 | INFO     | wakie.detector | New command from ✨️Siya..: /add believer imagine dragons
2026-06-01 01:29:03 | INFO     | bot.runtime | Command: /add from ✨️Siya..
2026-06-01 01:29:03 | INFO     | commands.audit | RECV user=✨️Siya.. cmd=/add invoked=/add args=['believer', 'imagine', 'dragons'] fp=ccb3b8fd
2026-06-01 01:29:03 | INFO     | commands.public_commands | /add from ✨️Siya..: believer imagine dragons
2026-06-01 01:29:03 | INFO     | player.youtube_service | Extracting stream: believer imagine dragons
2026-06-01 01:29:05 | INFO     | player.autoplay_manager | Autoplay paused — user queue active
2026-06-01 01:29:05 | INFO     | player.stream_queue | User queued: Imagine Dragons - Believer (Official Music Video) (#1)
2026-06-01 01:29:05 | INFO     | commands.audit | user=✨️Siya.. cmd=/add invoked=/add args=[believer imagine dragons] status=SUCCESS ok=True ms=1704 msg='Added to queue: Imagine Dragons - Believer (Official Music Video) (#1)'
2026-06-01 01:29:06 | INFO     | wakie.chat | Message typed
2026-06-01 01:29:10 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:29:11 | INFO     | wakie.chat | Message sent
2026-06-01 01:29:48 | INFO     | wakie.detector | New command from R........ м..м........ ..: /add oopreemaa hrudhaya veenaeneevammaa
2026-06-01 01:29:48 | INFO     | bot.runtime | Command: /add from R........ м..м........ ..
2026-06-01 01:29:48 | INFO     | commands.audit | RECV user=R........ м..м........ .. cmd=/add invoked=/add args=['oopreemaa', 'hrudhaya', 'veenaeneevammaa'] fp=a8ffdd59
